Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm
02:38,MCS 669,28-04-2025 17:44,102702.11,104679.34,4395.58,4623.79,52968.38,53270.22,43037.12,43134.78,13543.22,13877.76,667.38,672.6,12594.16,12698.07,767.56,823.95,6156.61,6150.71
02:39,MCS 670,28-04-2025 17:46,107938.83,109777.55,1338.11,1399.8,45997.47,46168.26,31102.64,30979.25,9007.23,9054.53,287.69,290.3,4451.67,4469.27,799.31,840.06,6166.07,6155.71
02:40,MCS 671,28-04-2025 17:48,101430.9,103007.3,3145.81,3287.91,48866.03,48985.64,36976.22,37084.36,11541.24,11713.61,578.07,582.22,9345.07,9361.22,654.99,721.19,5854.53,5902.15
02:41,MCS 672,28-04-2025 17:50,76959.57,77586.58,3015.51,3095.13,34075.32,34249.58,25537.69,25089.06,8382.97,8370.47,623.87,628.27,7301.33,7269.26,576.6,633.38,3916.93,3905.54
02:42,MCS 673,28-04-2025 17:52,112546.87,114383.21,1507.51,1578.78,52545.78,52748.75,34541.09,34284.81,9774.65,9861.22,287.87,290.18,4715.92,4742.54,470.05,481.89,6650.16,6638.72
02:43,MCS 674,28-04-2025 17:54,88960.27,89809.11,1725.4,1779.38,38205.81,38352,27988.54,27533.39,7538.11,7511.59,869.72,875.94,4844.03,4844.2,695.48,758.65,4376.67,4363.14
S1:8,QC MES 5 ppm,28-04-2025 17:56,4.86,4.86,4.43,4.57,4.75,4.81,5.35,5.24,4.42,4.57,4.69,4.8,4.85,4.97,4.8,4.76,4.77,4.76
S1:9,SJS-Std,28-04-2025 17:58,79323.73,78714.54,19362.08,19314.28,36792.12,36868.16,23849.55,23344.96,15296.48,15169.42,569.35,568.83,12942.29,12962.07,646.86,734.12,3512.75,3500.1
02:44,MCS 675,28-04-2025 18:00,63605.83,63764.82,1469.69,1494.38,28296.04,28449.68,18808.34,18370.03,4632.43,4589.59,277.93,277.76,4416.02,4399.83,335.56,376.83,2835.13,2826.29
02:45,MCS 676,28-04-2025 18:02,89885.07,90781.88,1606.55,1663.73,41411.74,41638.29,27195.64,26818,7134.06,7121.74,495.9,499.2,4777.51,4815.9,651.59,690.83,4481.44,4487.27
02:46,MCS 677,28-04-2025 18:04,101276.28,102388.91,1602.78,1665.9,49763.87,50061.12,34308.83,33943.42,9933.61,9967.71,617.64,620.39,4170.1,4203.07,529.98,589.18,5740.22,5773.51
02:47,MCS 678,28-04-2025 18:06,89582.98,90624.77,1476.11,1526.46,42110.36,42233.84,26439.24,25940.02,7700.55,7679.66,216.3,216.16,4424.29,4416.1,466.19,550.05,4834.09,4832.51
02:48,MCS 679,28-04-2025 18:08,98429.72,100148.19,2774.49,2903.18,50379.67,50458.55,37316.52,37289.46,12000.59,12255.03,525.74,528.91,7995.14,8060.51,517.76,551.35,5987.91,5974.86
02:49,MCS 680,28-04-2025 18:10,65202.66,65249.72,1987,2020.56,29010.14,29080.98,18017.76,17599.47,4848.32,4800.36,618.03,621.67,5109.59,5107.95,816.63,864.01,2679.85,2671.16
02:50,MCS 681,28-04-2025 18:12,81600.64,82458.32,2301.31,2366.72,34717.41,34906,24487.57,24096.86,6341.25,6315.8,222.35,221.65,5052.26,5065.97,475.73,503.3,4180.6,4188.34
02:51,MCS 682,28-04-2025 18:14,78689.88,78960.89,2269.58,2322.83,34154.36,34297.53,19427.17,19022.43,5967.92,5929.03,244.02,245.7,5649.02,5663.68,683.34,770.52,4021.49,4007.64
02:52,MCS 683,28-04-2025 18:16,97151.51,98743.05,4189.86,4397.42,49193.8,49355.56,36682.47,36507.33,12581.84,12865.14,577.31,580.2,9979.36,10021.63,861.14,896.64,5608.06,5619.8
02:53,MCS 684,28-04-2025 18:18,82788.52,83712.57,4184.45,4346.44,43248.56,43407.7,34018.21,33798.2,10596.23,10735.34,621.89,625.78,9590.36,9618.05,634.49,680.12,4997.45,5016.98
S1:8,QC MES 5 ppm,28-04-2025 18:20,4.84,4.83,4.41,4.54,4.73,4.77,5.31,5.2,4.4,4.55,4.67,4.77,4.83,4.91,4.77,4.72,4.73,4.72
S1:9,SJS-Std,28-04-2025 18:22,79594.56,78963,19388.51,19340.13,36884.09,36867.47,23862.71,23382.63,15326.32,15208.84,571.6,569.68,12973.07,13007.25,650.5,740.4,3522.2,3509.54
02:54,MCS 685,28-04-2025 18:24,61555.33,61917.8,2734.71,2780.73,28838.43,28904.01,16409.71,16041.65,4083.24,4055.03,481.31,484.4,6816.28,6845.68,639,680.47,2248.3,2241.31
02:55,MCS 686,28-04-2025 18:26,90371.06,91349.47,3259.39,3357.7,43341.36,43583.56,23565.13,23166.21,7307.88,7295.52,614.66,617.34,8272.42,8255.71,1171.64,1233.39,4368.65,4384.75
02:56,MCS 687,28-04-2025 18:28,95506.39,97122.34,1940.66,2030.32,40842.77,40955.54,34615,34571.96,9732.48,9859.68,327.02,329.26,6828.75,6814.63,457.61,482.05,5300,5299.14
02:57,MCS 688,28-04-2025 18:30,87195.49,87831.38,1911.6,1962.84,41102.71,41468.98,24922.68,24425.91,6735.54,6695.49,198.66,197.9,5776.53,5801.09,560.3,612.75,4456.79,4443.92
02:58,MCS 689,28-04-2025 18:32,93465.76,94560.05,1711.76,1774.46,39365.31,39507.13,31815.03,31468.39,6451.01,6419.69,494.09,497.29,5534.11,5527.68,523.61,594.25,4038.83,4025.75
02:59,MCS 690,28-04-2025 18:34,76439.88,76721.92,1618.62,1652.27,33840.03,33942.71,22217.07,21775.72,5653.84,5607.45,263.81,263.13,4572.28,4565.87,443.68,463.19,3501.56,3490.23
0.125,MCS 691,28-04-2025 18:36,74403.66,74728.01,1482.63,1514.49,36743.79,36963.57,21580.65,21106.22,6324.33,6282.92,291.34,292.07,4298.78,4301.85,650.14,679.28,4042.04,4028
03:01,MCS 692,28-04-2025 18:38,85484.15,86225.09,3090.09,3189.51,41600.42,41641.49,23561.89,23169.32,7196.69,7180.01,1078.75,1085.01,8719.38,8752.77,797.52,855.71,4258.83,4270.56
03:02,MCS 693,28-04-2025 18:40,74920.99,75659.09,2876.93,2972.78,34239.34,34290.66,27390.49,26975.85,7409.02,7396.39,612.55,616.97,8993.77,9054.21,649.19,686.35,3808.67,3798.36
03:03,MCS 694,28-04-2025 18:42,93583.65,94635.65,1130.58,1178.46,39728.48,39912.35,31310.75,31010.92,8507.91,8533.9,526.81,528.2,3632.48,3629.69,398.61,425.53,5189.99,5216.77
S1:8,QC MES 5 ppm,28-04-2025 18:44,4.87,4.86,4.43,4.56,4.76,4.8,5.33,5.22,4.41,4.57,4.69,4.79,4.85,4.92,4.79,4.76,4.75,4.74
S1:9,SJS-Std,28-04-2025 18:46,79679.69,78925.83,19402.26,19345.76,36875.43,37009.75,23854.99,23377.46,15335.34,15224.38,570.35,569.64,12961.66,13019.75,651.42,755.73,3515.27,3503.33
03:04,MCS 695,28-04-2025 18:48,80262.33,80770.14,2124.18,2165.11,31572.39,31662.52,18706.3,18306.05,6438.4,6401.08,242.88,242.6,5488.02,5508.68,687.32,739.02,4279.16,4266.78
03:05,MCS 696,28-04-2025 18:50,89465.74,90176.99,3489.57,3584.15,40675.87,40884.62,23409.07,22963.7,7301.04,7268.06,510.55,513,9253.02,9252.24,1042.69,1070.2,4336.49,4326.09
03:06,MCS 697,28-04-2025 18:52,75344.91,76021.45,1206.95,1243.89,35042.2,35326.64,23885.39,23483.99,6280.41,6252.19,215.62,215,3917.33,3919.15,358.69,399.27,4333.3,4339.13
03:07,MCS 698,28-04-2025 18:54,82032,82794.72,1628.14,1681.14,37890.43,38014.03,28285.98,27920.04,7194.19,7180.87,721.8,725.02,5238.83,5258.65,534.04,591.56,4353.05,4366.29
03:08,MCS 699,28-04-2025 18:56,79388.46,79927.53,2536.8,2600.92,38755.93,38916.58,26753.53,26292.49,9572.14,9598.74,344.41,347.75,5995.42,5990.68,319.43,354.44,4359.08,4346.75
03:09,MCS 700,28-04-2025 18:58,70540.19,70889.92,1795.36,1835.72,28469.51,28571.07,22291.51,21822.64,5214.46,5169.48,561.99,565.93,5158.88,5148.68,467.42,524.03,3113.47,3105.66
03:10,MCS 701,28-04-2025 19:00,116115.57,117737.82,1903.19,1978.16,47830.27,48031.05,32047.78,31702.44,9674.67,9711.61,334.21,334.55,5078.06,5086.2,878.8,900.41,6789.91,6775.79
03:11,MCS 702,28-04-2025 19:02,40623.43,40242.46,1237.59,1242.18,17903.33,18108.3,7707.44,7559.8,5622.06,5589.33,93.91,94.05,3004.32,3000.83,183.46,172.06,3283.66,3271.13
03:12,MCS 703,28-04-2025 19:04,85710.18,86525.88,1519.53,1563.67,42046.83,42204.18,25899.55,25457.91,7145.27,7118.23,358.9,362.08,4781.25,4780.88,475.04,502.62,5042.62,5049.42
03:13,MCS 704,28-04-2025 19:05,76007.53,76629.67,1839.39,1893.95,34215.63,34395.32,27714.87,27325.1,6950.39,6937.4,488.65,490.41,3189.08,3168.31,369.61,390.58,4202.27,4223.28
S1:8,QC MES 5 ppm,28-04-2025 19:07,4.9,4.88,4.44,4.57,4.79,4.81,5.35,5.24,4.42,4.59,4.71,4.8,4.85,4.98,4.8,4.75,4.77,4.76
S1:9,SJS-Std,28-04-2025 19:10,79434.97,78621.11,19358.26,19258.35,36663.07,36684.35,23714.13,23245.22,15269.15,15160.18,570.48,571.19,12899.35,12915.4,659.74,758.52,3506.89,3496.84
03:14,MCS 705,28-04-2025 19:11,65576.23,65844.82,3606.96,3664.66,29496.16,29588.79,20722.42,20267.39,5221.38,5177.87,385.19,385.9,4439.81,4473.34,721.7,758.33,3128.47,3118.78
03:15,MCS 706,28-04-2025 19:13,72487.76,72965.8,3247.06,3306.24,33089.32,33212.55,19550.01,19176.05,5571.51,5537.89,327.18,328.28,5579.93,5551.22,554.7,623.94,3641.28,3632.56
03:16,MCS 707,28-04-2025 19:15,65807.02,65922.36,2523.21,2566.42,31873.4,31919.96,15072.24,14733.77,4770.26,4726.69,707.6,711.69,5659.71,5633.91,487.33,536.43,2992.69,2985.96
03:17,MCS 708,28-04-2025 19:17,73476.15,74123.11,4387.71,4538.94,39840.95,39975.41,30164.51,29813.82,10292.71,10434.81,616.13,618.49,8959.68,8974.55,698.36,749.95,4385.85,4390.99
03:18,MCS 709,28-04-2025 19:19,67188.81,67499.69,2257.31,2304.2,28397.15,28529.43,21862.73,21417.23,5140.23,5097.14,559,563.27,6251.7,6229.94,319.07,381.81,3000.02,2993.54
03:19,MCS 710,28-04-2025 19:21,63344.52,63477.64,1986.71,2013.01,27459.29,27614.44,17885.66,17467.3,4903.26,4856.56,670.25,675,4958.24,4936.55,375.22,432.81,2911.4,2902.64
03:20,MCS 711,28-04-2025 19:23,85064.22,85759.09,1440.33,1505.7,44977.77,45220.94,28550.31,28116.38,8644.82,8659.06,664.88,668.97,4039.97,4042.56,380.72,437.54,4804.87,4822.55
03:21,MCS 712,28-04-2025 19:25,75692.07,76083.15,2856.04,2907.26,34251.87,34515.94,19741.66,19327.18,5724.64,5683.82,212.45,213.47,4160.49,4131.82,508.08,554.99,3693.65,3685.14
03:22,MCS 713,28-04-2025 19:27,67605.83,67826.07,1953.85,1996.77,29709.85,29836.84,20415.22,20025.46,5286.97,5247.6,1062.1,1069.48,5064.72,5065.11,608.27,642.3,3163.7,3155.13
03:23,MCS 714,28-04-2025 19:29,80754.85,81418.59,1133.04,1171.41,36087.3,36229.92,27542.79,27165.68,7611.98,7616.88,381.33,382.98,3520.77,3572.74,337.24,372.76,4683.47,4719.13
S1:8,QC MES 5 ppm,28-04-2025 19:31,4.86,4.86,4.43,4.56,4.72,4.78,5.31,5.21,4.4,4.57,4.67,4.78,4.84,4.92,4.77,4.72,4.74,4.73
S1:9,SJS-Std,28-04-2025 19:33,79550.15,79055.09,19382.67,19368.21,36840.46,36696.47,23866.04,23397.05,15345.52,15247.54,571.87,570.51,12936.92,12954.93,694.48,758.32,3515.26,3507.29
03:24,MCS 715,28-04-2025 19:35,68837.19,69112.19,2131.48,2184.98,30852.91,30980.2,23355.41,22932.81,7603.93,7594.82,526.25,528.68,4622.01,4640.84,519.39,558.33,3589.73,3581.29
03:25,MCS 716,28-04-2025 19:37,69205.15,69503.35,2330.73,2370.71,30038.55,30252.52,17137.94,16761.2,5055.7,5011.34,773.91,776.22,6259.09,6214.19,578.03,619.42,3006.59,2998.41
03:26,MCS 717,28-04-2025 19:39,61859.66,61919.02,1798.3,1828.49,29580.59,29681.62,17393.74,16990.49,4675.56,4628.3,222.34,221.84,5410.92,5417.04,461.04,518.26,3298,3290.01
03:27,MCS 718,28-04-2025 19:41,73220.77,73487.19,1560.01,1596.19,33024.34,33266.16,22413.28,21960.61,6139.57,6106.21,476.3,478.34,4371.29,4365.84,535.62,616.29,3703.72,3696.02
03:28,MCS 719,28-04-2025 19:43,57307.64,57388.54,2315.6,2357.06,28194.74,28316.04,19358.03,18939.92,6740.18,6717.8,448.78,450.5,4771.08,4830.07,656.9,705.64,2928.96,2922.64
03:29,MCS 720,28-04-2025 19:45,48647.7,48304.36,1630.13,1635.33,23350.1,23614.35,11367.74,11112.57,4387.81,4377.69,559.32,562.39,3521.62,3501.74,367.54,399.43,2520.06,2513.67
03:30,MCS 721,28-04-2025 19:47,61488.1,61598.59,2909.64,2967.27,27624.66,27694.35,22425.14,21986.45,5893.76,5850.51,289.01,289.71,6770.74,6789.21,487.2,511.57,3590.5,3580.17
03:31,MCS 722,28-04-2025 19:49,84205.28,84765.8,1357.1,1406.57,37613.24,37451.64,26154.39,25703.8,7659.88,7646.04,217.08,215.39,3835.87,3829.17,425.17,454.03,4849.65,4881.31
03:32,MCS 723,28-04-2025 19:51,68251.1,68404.93,1583.57,1625.04,26969.02,26872.85,20106.85,19696.35,4741.31,4690.74,189.54,190.18,4534.72,4545.48,323.51,346.74,3160.81,3153.42
03:33,MCS 724,28-04-2025 19:53,55570.43,55599.92,2123.16,2153.73,25787.71,25809.82,18396.62,17993.12,5994.87,5962.08,370.29,372.36,4748.43,4757.96,435.72,489.21,2914.84,2909.39
S1:8,QC MES 5 ppm,28-04-2025 19:55,4.89,4.88,4.44,4.58,4.77,4.8,5.37,5.26,4.41,4.59,4.71,4.8,4.86,4.95,4.79,4.74,4.76,4.75
S1:9,SJS-Std,28-04-2025 19:57,79756.52,79177.22,19471.82,19419.76,36871.19,37021.4,23945.21,23477.64,15378.45,15288.91,572.24,569.71,13026.93,13006.96,646.83,737.74,3523,3514.44
03:34,MCS 725,28-04-2025 19:59,67592.92,67822.13,2767.53,2824.73,31563.21,31701.84,17143.25,16731.64,5328.4,5292.44,384.67,384.88,7068.64,7048.35,677.6,732.15,3214.88,3208.74
03:35,MCS 726,28-04-2025 20:01,68035.08,68267.31,2766.08,2813.47,28327.43,28408.67,17139.06,16775.75,5070.92,5034.14,315.19,317.57,6645.21,6663.33,614.54,661.11,3039.95,3034.14
03:36,MCS 727,28-04-2025 20:03,75050.73,75734.87,2906.15,2999.26,29608.61,29672.7,23562.07,23173.88,7849.4,7867.64,279.31,280.89,9012.51,9024.67,385.99,427.63,3492.17,3484.17
03:37,MCS 728,28-04-2025 20:05,71508.29,72024.49,2137.59,2176.56,30460.9,30700.29,18890.76,18490.01,5475.7,5436.78,233.44,233.69,5930.93,5906.54,636.76,654.13,3461.69,3455.32
03:38,MCS 729,28-04-2025 20:07,69041.11,69210.13,2022.59,2058.09,30768.41,30950.36,18111.75,17704.41,5320.53,5278.21,361.56,363.33,5157.21,5130.67,560.1,590.88,3284.24,3276.3
03:39,MCS 730,28-04-2025 20:09,81062.61,81689.27,1516.1,1558.69,39020.19,39009.74,22680.58,22246.31,6380.47,6354.61,228.03,227.5,4465.86,4461.21,542.24,590.56,4142.24,4133.83
03:40,MCS 731,28-04-2025 20:11,66001.34,66269.46,2236.19,2275.48,29702.26,29805.88,20224.33,19795.68,7340.4,7325.91,295.2,296.37,5173.6,5207.23,438.38,500.54,3384.39,3377.49
03:41,MCS 732,28-04-2025 20:13,76929.07,77609.68,1409.32,1448.24,34292.74,34488.83,23342.13,22928.73,6376.35,6358.78,585.38,589.1,4120.23,4098.61,432.16,499.21,3897.47,3892.01
03:42,MCS 733,28-04-2025 20:15,78023.05,78410.25,2526.88,2588.54,29358.65,29515.75,23919.71,23513.53,5721.87,5690.42,285.28,287.5,7389.15,7378.67,424.27,468.29,3301.56,3295.12
03:43,MCS 734,28-04-2025 20:17,83441.09,84136.83,2817.66,2904.36,36811.16,37152.41,26631.73,26188.07,7478.26,7468.51,319,321.61,7186.02,7163.33,601.72,627.14,4160.9,4155.75
S1:8,QC MES 5 ppm,28-04-2025 20:19,4.9,4.88,4.45,4.59,4.77,4.81,5.36,5.26,4.43,4.59,4.7,4.8,4.87,4.95,4.79,4.75,4.76,4.76
S1:9,SJS-Std,28-04-2025 20:21,80033.7,79409.71,19529.54,19506.39,36977.39,37142.79,24005.65,23553.43,15410.71,15330.14,573.67,570.8,13112.51,13056.46,662.43,672.11,3525.15,3519.21
03:44,MCS 735,28-04-2025 20:23,60439.95,60606.79,1434.8,1471.22,26632.65,26733.01,18864.56,18460.55,4764.53,4731.59,546.86,550.71,3709.95,3702.96,396.66,427.81,2912.29,2905.87
03:45,MCS 736,28-04-2025 20:25,76964.5,77454.43,2819.23,2892.74,37684.84,37911.12,25823,25376.24,8822.29,8846.58,609.5,613.2,5498.13,5516.23,620.07,674.93,3919.32,3912.71
03:46,MCS 737,28-04-2025 20:27,69917.68,70573.11,2845.61,2928.49,33371.97,33455.93,25041.58,24691.28,8563.29,8608.94,345.04,345.35,5714.45,5728.96,506.07,551.26,3686.24,3682.39
03:47,MCS 738,28-04-2025 20:29,76523.94,77195.49,2833.93,2902.41,35639.83,35826.23,22228.03,21813.94,5774.08,5748.44,1094.72,1102.29,6668.13,6653.49,1074.93,1110.66,3433.32,3426.17
03:48,MCS 739,28-04-2025 20:31,89719.83,90583.09,1344.3,1386.29,44423.33,44727.58,29148.89,28730.36,8600.67,8625.43,321.36,323.59,4135.91,4133.37,456.7,513.12,5470.36,5481.52
03:49,MCS 740 (Dup. of 599),28-04-2025 20:33,93188.64,94212.32,930.21,996.52,47684.53,47834.63,30108.72,29724.67,9299.32,9352.75,298.56,299.13,3142.41,3141.63,474.73,535.74,5661.7,5694.89
03:50,MCS 741 (Dup. of 624),28-04-2025 20:35,63176.12,63181.83,1583.29,1612.67,28456.05,28504.31,18110.62,17706.25,4406.11,4393.4,166.06,166.37,4608.46,4608.68,429.09,449.92,2789.04,2783.47
03:51,MCS 742 (Dup. of 649),28-04-2025 20:37,82308.53,82933.05,1632.8,1675.18,35277.21,35453.71,22376.65,21997.38,6995.09,6995.94,307.92,310.18,3804.44,3801.77,586.97,629.53,4532.8,4560.05
03:52,MCS 743 (Dup. of 674),28-04-2025 20:39,79270.35,79696.53,1552.06,1595.09,37431.99,37609.01,25199.04,24748.22,7055.12,7047.65,899.54,904.62,3789.46,3794.29,695.38,741.74,4035.76,4029.79
03:53,MCS 744 (Dup. of 699),28-04-2025 20:41,79032.07,79591.94,2888.98,2961.26,39061.71,39293.68,26975.19,26546.05,9356.14,9400.63,340.83,342.69,6026.17,6031.66,309.54,344.24,4448.49,4440.57
03:54,MCS 745 (Dup. of 724),28-04-2025 20:43,63817.86,63902.9,2424.98,2456.31,29492.17,29602.48,21999.8,21535.63,6845.75,6827.92,447.56,451.36,5799.12,5804.09,437.18,490.42,3160.24,3153.69
S1:8,QC MES 5 ppm,28-04-2025 20:45,4.91,4.9,4.47,4.61,4.78,4.82,5.39,5.28,4.43,4.63,4.73,4.82,4.9,4.98,4.8,4.77,4.78,4.78
S1:9,SJS-Std,28-04-2025 20:47,80322.42,79606.61,19603.3,19505.88,37084.89,37159.42,24042.66,23628.96,15444.37,15370.84,575.38,575.23,13115,13072.89,702.26,769.35,3538.63,3528.25
S1:1,Wash,28-04-2025 20:49,0.00 u,0.02,0.00 u,0,0,0,0.00 u,0.04,0,0,0.00 u,0,0.00 u,0,0,0.00 u,0.00 u,0.00 u
S1:1,Wash,28-04-2025 20:51,0.00 u,0.00 u,0,0,0,0.00 u,0,0.04,0,0,0.00 u,0.00 u,0.00 u,0,0,0.00 u,0.00 u,0.00 u
